name,name.abbrev,verbal,math,takers.pct
north dakota,nd,594,605,5
iowa,iowa,594,598,5
minnesota,minn,586,598,9
wisconsin,wis,584,595,7
south dakota,sd,585,588,4
illinois,ill,569,585,12
kansas,kan,578,576,9
missouri,mo,572,572,8
nebraska,neb,568,571,8
utah,utah,570,568,5
michigan,mich,557,565,11
oklahoma,okla,567,560,8
louisiana,la,561,558,8
arkansas,ark,563,556,6
alabama,ala,561,555,9
tennessee,tenn,559,553,13
wyoming,wyo,546,551,10
mississippi,miss,563,548,4
kentucky,ky,547,547,12
montana,mont,545,546,21
new mexico,nm,549,542,12
idaho,idaho,542,540,16
colorado,colo,536,540,32
ohio,ohio,534,538,25
washington,wash,525,526,52
oregon,ore,525,525,53
arizona,ariz,524,525,34
new hampshire,nh,520,518,72
nevada,nev,512,517,34
california,calif,497,514,49
west virginia,wva,527,512,18
massachusetts,mass,511,511,78
new jersey,nj,498,510,80
connecticut,conn,510,509,80
maryland,md,507,507,65
vermont,vt,514,506,70
maine,maine,507,503,68
new york,ny,495,502,76
virginia,va,508,499,65
rhode island,ri,504,499,70
texas,texas,494,499,50
florida,fla,499,498,53
indiana,ind,496,498,60
delaware,dela,503,497,67
pennsylvania,pa,498,495,70
north carolina,nc,493,493,61
georgia,ga,487,482,63
district of columbia,d.c.,494,478,77
south carolina,sc,479,475,61
